version,source,result
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/01_Gv05-Man.svg,89
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/02_Gv05-Woman.svg,87
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/03_Gv05-Assembly_couple.svg,63
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/04_Gv05-Disabled.svg,96
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/05_Gv05-Assembly_group.svg,73
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/06_Gv05-Assembly_family.svg,79
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/07_Gv05b-Girl.svg,7
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/08_Gv05b-Boy.svg,61
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/09_Gv05-Authority_instruction.svg,78
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/10_Gv05-Help_others.svg,71
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/11_Gv05-Keep_safe.svg,89
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/12_Gv05-Evacuate_vertical.svg,72
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/13_Gv05-Evacuate_downstairs.svg,85
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/14_Gv05-Evacuate_male_pedestrian.svg,72
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/15_Gv05-Evacuate_female_pedestrian.svg,64
v05,https://raw.githubusercontent.com/Guemil/Guemil_Icons_v05_2016/main/svg/16_Gv05-Evacuate.svg,60
